MES;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986
JAN;0.00732300;0.00149500;0.00376600;0.00543000;0.00583400;0.01084600;0.01054900;0.00929300;0.00839800;0.00586600;0.00885300;0.00860600;0.00658200;0.01042800;0.00922000;0.01078400;0.01425600;0.01382800;0.01260600;0.01965400;0.01531900;0.01258600;0.01441300;0.02174200;0.02666300;0.01740600;0.02560100;0.03475000;0.43250800;0.28776000;0.29065600;0.23458900;0.68231800;0.23873300;0.17227000;0.14653300;---
FEV;0.00755000;0.00134500;0.00293700;0.00493600;0.00464900;0.00863800;0.01001500;0.00818500;0.00782700;0.00481600;0.00741600;0.00842400;0.00592500;0.00852700;0.00795000;0.00869800;0.01140100;0.01215900;0.01079600;0.01827500;0.01247500;0.01009600;0.01440500;0.02349200;0.02107300;0.01660500;0.02306800;0.03237500;0.41458700;0.28561000;0.30318800;0.08716300;0.79938300;0.19355100;0.18647900;0.22261300;---
MAR;0.00927100;0.00201100;0.00338400;0.00468800;0.00531600;0.01050400;0.01160500;0.01036100;0.00759900;0.00537700;0.00808300;0.00918900;0.00756900;0.00966500;0.00838500;0.01048600;0.01418300;0.01522000;0.01374400;0.01773100;0.01369900;0.01250000;0.01438900;0.03285200;0.02180300;0.01625700;0.02198000;0.04408200;0.46979300;0.28537700;0.25204800;0.10008500;0.36387800;0.20563700;0.16911600;0.14003100;0.00868100
ABR;0.00834300;0.00207800;0.00284900;0.00518300;0.00517500;0.00785300;0.01054500;0.00948300;0.00815500;0.00600800;0.00699900;0.00838800;0.00664000;0.00835600;0.00897800;0.00940600;0.01075400;0.01408000;0.01174700;0.01866000;0.01483000;0.01180300;0.01283800;0.02275500;0.01694800;0.01656300;0.02034100;0.04219900;0.45968300;0.30385400;0.23753900;0.12489100;0.05122500;0.11469500;0.20225300;0.16696800;0.01370600
MAI;0.01034600;0.00270300;0.00235800;0.00543000;0.00517500;0.00925600;0.01107500;0.00983800;0.00858300;0.00584900;0.00732500;0.00985300;0.00750100;0.00766500;0.00871200;0.01022100;0.01278200;0.01500400;0.01224900;0.01959400;0.01403700;0.01334400;0.01488100;0.01959500;0.01627700;0.01578400;0.02004600;0.04270400;0.48117800;0.30926600;0.22938800;0.12641000;0.05938000;0.11594900;0.18672100;0.25692100;0.01321000
JUN;0.01015300;0.00307800;0.00212300;0.00468800;0.00517500;0.00808100;0.01160500;0.01065800;0.00817400;0.00591900;0.00638600;0.00952700;0.00790800;0.00751400;0.00948200;0.00901500;0.01182200;0.01584500;0.01223600;0.01850800;0.01309700;0.01273100;0.01385200;0.01634800;0.01596900;0.01591900;0.01940600;0.04049800;0.48430700;0.31800900;0.24242400;0.10658900;0.09382400;0.27335300;0.20221200;0.18892900;0.01566900
JUL;0.01034800;0.00355600;0.00194300;0.00567800;0.00542200;0.00797200;0.01107500;0.01177300;0.00940400;0.00708800;0.00675400;0.00966600;0.00859200;0.00784100;0.01064200;0.00968100;0.01167000;0.01509800;0.01281800;0.02075600;0.01533800;0.01501500;0.01301500;0.01622600;0.01694000;0.01605900;0.01913300;0.04008900;0.06677200;0.32786800;0.26308800;0.13263900;0.14342600;0.32757000;0.24488900;0.09469200;0.02225000
AGO;0.01169400;0.00427900;0.00159900;0.00501700;0.00566900;0.00801500;0.01213600;0.01107500;0.00859500;0.00695800;0.00686600;0.01072400;0.00886300;0.00691500;0.01012800;0.00987800;0.01251300;0.01652900;0.01286100;0.01764600;0.01445600;0.01601200;0.01395000;0.01546400;0.01472600;0.01580800;0.01953000;0.03806600;0.04163700;0.34797500;0.25728400;0.15972600;0.12650200;0.35406200;0.22678900;0.08482300;0.02895500
SET;0.01072000;0.00442000;0.00157000;0.00463800;0.00468100;0.00637700;0.01107500;0.01107500;0.00900600;0.00699100;0.00537200;0.00939800;0.00844600;0.00691500;0.01098500;0.00800600;0.01053200;0.01499700;0.01244100;0.01669100;0.01380800;0.01322900;0.01217000;0.01467800;0.02492600;0.01581100;0.01884400;0.03252900;0.03846400;0.37431300;0.27646700;0.20007100;0.17500000;0.38351000;0.25985800;0.08728700;0.03300900
OUT;0.01020700;0.00486000;0.00157000;0.00479300;0.00543000;0.00643100;0.01047400;0.01107700;0.00944800;0.00803400;0.00607300;0.00880700;0.00805700;0.00691200;0.01173900;0.00924100;0.01090100;0.01403300;0.01208100;0.01633200;0.01641400;0.01534000;0.01279500;0.01374500;0.02925300;0.01681700;0.01856900;0.03056600;0.03654800;0.38386500;0.28194900;0.26095700;0.21967900;0.47240900;0.29477700;0.10413300;0.03454900
NOV;---;0.00586800;0.00149500;0.00380400;0.00493600;0.00567500;0.01036900;0.01055200;0.00837900;0.00710500;0.00544500;0.00858600;0.00805600;0.00659000;0.00995800;0.00839800;0.01017300;0.01376300;0.01248800;0.01338100;0.01533500;0.01393300;0.01215600;0.01372500;0.02575600;0.02984800;0.01794500;0.02838200;0.04110200;0.38065200;0.26093300;0.31979000;0.23053400;0.48069700;0.27921600;0.13737800;0.05219900
DEZ;---;0.00769100;0.00164500;0.00374700;0.00493600;0.00537700;0.01121800;0.01161300;0.00955800;0.00780400;0.00534200;0.00904700;0.00927200;0.00723900;0.01111100;0.00839400;0.00984300;0.01466800;0.01479900;0.01365700;0.01734100;0.01393600;0.01193800;0.01582500;0.02378000;0.02915100;0.01790800;0.02726000;0.03836500;0.40644100;0.26058100;0.30456700;0.27777700;0.64216300;0.30037700;0.15613400;0.10505000
