codigo,acao,tipo,qtd_teorica,part
RRRP3,3R PETROLEUM,ON      NM,200453863,0.356
ALPA4,ALPARGATAS,PN      N1,202765994,0.215
ABEV3,AMBEV S/A,ON,4386652506,3.203
AMER3,AMERICANAS,ON      NM,596086291,0.497
ARZZ3,AREZZO CO,ON      NM,60358029,0.286
ASAI3,ASSAI,ON      NM,795949801,0.673
AZUL4,AZUL,PN      N2,327646296,0.251
B3SA3,B3,ON  EDJ NM,5901731302,3.755
BPAN4,BANCO PAN,PN      N1,341549703,0.114
BBSE3,BBSEGURIDADE,ON      NM,671682536,0.945
BRML3,BR MALLS PAR,ON      NM,828273884,0.365
BBDC3,BRADESCO,ON      N1,1508883586,1.184
BBDC4,BRADESCO,PN      N1,5156077326,4.924
BRAP4,BRADESPAR,PN      N1,251025058,0.271
BBAS3,BRASIL,ON      NM,1420731069,2.749
BRKM5,BRASKEM,PNA     N1,265212486,0.361
BRFS3,BRF SA,ON      NM,1076512610,0.7
BPAC11,BTGP BANCO,UNT     N2,1225470424,1.478
CRFB3,CARREFOUR BR,ON  EJ  NM,528743156,0.526
CCRO3,CCR SA,ON      NM,1115681435,0.725
CMIG4,CEMIG,PN  EJ  N1,1442098974,0.799
CIEL3,CIELO,ON      NM,1095401258,0.27
COGN3,COGNA ON,ON      NM,1820405422,0.26
CPLE6,COPEL,PNB     N2,1563365506,0.507
CSAN3,COSAN,ON      NM,1171063698,1.016
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.322
CMIN3,CSNMINERACAO,ON      N2,1110550596,0.183
CVCB3,CVC BRASIL,ON      NM,275967676,0.089
CYRE3,CYRELA REALT,ON      NM,274142301,0.218
DXCO3,DEXCO,ON      NM,274863424,0.135
ECOR3,ECORODOVIAS,ON      NM,333657615,0.088
ELET3,ELETROBRAS,ON      N1,1447696333,3.161
ELET6,ELETROBRAS,PNB     N1,279941393,0.633
EMBR3,EMBRAER,ON      NM,734632205,0.441
ENBR3,ENERGIAS BR,ON      NM,246028184,0.277
ENGI11,ENERGISA,UNT     N2,248477689,0.539
ENEV3,ENEVA,ON      NM,1561135009,1.138
EGIE3,ENGIE BRASIL,ON      NM,255208461,0.494
EQTL3,EQUATORIAL,ON      NM,1100513485,1.41
EZTC3,EZTEC,ON      NM,94318339,0.093
FLRY3,FLEURY,ON      NM,303383609,0.263
GGBR4,GERDAU,PN      N1,1111956242,1.284
GOAU4,GERDAU MET,PN      N1,686077578,0.342
GOLL4,GOL,PN      N2,190059275,0.088
NTCO3,GRUPO NATURA,ON      NM,835961011,0.617
SOMA3,GRUPO SOMA,ON      NM,490736222,0.325
HAPV3,HAPVIDA,ON      NM,4454740939,1.736
HYPE3,HYPERA,ON      NM,400842480,0.875
IGTI11,IGUATEMI S.A,UNT     N1,179981368,0.175
IRBR3,IRBBRASIL RE,ON      NM,2455237214,0.131
ITSA4,ITAUSA,PN      N1,4736060282,2.196
ITUB4,ITAUUNIBANCO,PN      N1,4799907051,6.454
JBSS3,JBS,ON      NM,1134986483,1.417
KLBN11,KLABIN S/A,UNT     N2,701899756,0.601
RENT3,LOCALIZA,ON      NM,891243839,2.736
LWSA3,LOCAWEB,ON      NM,419466860,0.181
LREN3,LOJAS RENNER,ON      NM,970515779,1.317
MGLU3,MAGAZ LUIZA,ON      NM,2874188573,0.632
MRFG3,MARFRIG,ON      NM,316724584,0.169
CASH3,MELIUZ,ON      NM,657963256,0.038
BEEF3,MINERVA,ON      NM,260409710,0.166
MRVE3,MRV,ON  ED  NM,298436955,0.178
MULT3,MULTIPLAN,ON      N2,268145328,0.315
PCAR3,P.ACUCAR-CBD,ON      NM,157889627,0.158
PETR3,PETROBRAS,ON      N2,2684384823,4.196
PETR4,PETROBRAS,PN      N2,4566441248,6.496
PRIO3,PETRORIO,ON  ATZ NM,839159130,1.121
PETZ3,PETZ,ON      NM,335672329,0.178
POSI3,POSITIVO TEC,ON      NM,73573028,0.047
QUAL3,QUALICORP,ON      NM,277039277,0.117
RADL3,RAIADROGASIL,ON      NM,1196069386,1.333
RAIZ4,RAIZEN,PN      N2,1246412032,0.26
RDOR3,REDE D OR,ON  EJ  NM,932048593,1.526
RAIL3,RUMO S.A.,ON      NM,1215642613,1.118
SBSP3,SABESP,ON      NM,340002999,0.749
SANB11,SANTANDER BR,UNT,355642848,0.524
SMTO3,SAO MARTINHO,ON      NM,143294210,0.183
CSNA3,SID NACIONAL,ON,589695175,0.359
SLCE3,SLC AGRICOLA,ON      NM,96272020,0.221
SULA11,SUL AMERICA,UNT     N2,284059601,0.345
SUZB3,SUZANO S.A.,ON      NM,726823001,1.469
TAEE11,TAESA,UNT     N2,218568234,0.434
VIVT3,TELEF BRASIL,ON,429455552,0.856
TIMS3,TIM,ON  EJ  NM,808436195,0.466
TOTS3,TOTVS,ON      NM,519851955,0.731
UGPA3,ULTRAPAR,ON      NM,1087887681,0.65
USIM5,USIMINAS,PNA     N1,515014562,0.186
VALE3,VALE,ON      NM,4547296398,14.815
VIIA3,VIA,ON      NM,1576975642,0.251
VBBR3,VIBRA,ON  EJ  NM,1114442976,0.981
WEGE3,WEG,ON  EJ  NM,1481593024,2.149
YDUQ3,YDUQS PART,ON      NM,296015511,0.194
